parcel_number,sale_date,sale_price,number_of_bedrooms,number_of_bathrooms,total_livable_area,year_built,zip_code,category_code,exterior_condition,interior_condition,x_coord,y_coord
241154400,2023/4/13,267000,0,0,2196,1930,19104,1,4,4,2682802.456,238387.1229
888113908,2023/3/7,167000,0,1,544,1900,19146,1,4,3,2692492.976,230698.1163
421361200,2023/4/12,25000,0,0,1596,1942,19120,1,4,4,2705601.463,263007.6284
234011300,2023/4/14,50000,0,0,1380,1930,19124,1,4,4,2712425.425,258310.5696
888310020,2023/4/14,375000,0,1,1414,1910,19125,1,3,3,2704481.182,247533.7417
251006200,2023/4/14,175000,0,0,1575,1925,19134,1,5,3,2707280.82,246863.8845
888052182,2023/4/11,162500,0,1,522,1963,19106,1,4,4,2698810.57,233766.7558
343359400,2023/4/14,167500,0,1,1120,1949,19151,1,4,4,2662790.663,243978.9237
343226300,2023/4/14,167500,0,1,1120,1949,19151,1,4,4,2663414.388,243665.3587
343308800,2023/4/14,167500,0,1,1120,1949,19151,1,4,4,2664578.423,242672.7718
172303100,2023/3/18,79000,0,1,1038,1915,19141,1,4,4,2696253.301,270964.0088
211050650,2023/4/20,650000,0,0,840,1900,19127,1,3,4,2677771.606,261347.9024
888052332,2023/4/19,275000,0,0,1320,1925,19107,1,4,4,2694972.978,233806.093
888050908,2023/4/24,187000,0,1,600,1973,19106,1,4,4,2696743.566,233862.1096
353118300,2023/4/17,233000,0,0,1498,1920,19111,1,4,4,2712970.711,272900.7763
462042100,2023/4/14,75000,0,0,2700,1925,19143,1,4,4,2676758.39,234884.3323
888083500,2023/4/19,195722,0,1,548,1980,19103,1,4,4,2690314.517,235285.446
888081234,2023/4/24,218000,0,1,583,1970,19103,1,4,3,2690736.516,234838.8131
53040005,2023/4/27,625000,0,0,1296,1968,19147,1,3,3,2694151.3,233256.7312
888081215,2023/4/24,220000,0,1,583,1970,19103,1,4,4,2690736.516,234838.8131
322116400,2023/4/21,280000,0,0,2130,1915,19121,1,4,6,2690781.381,247225.3509
582603465,2023/4/17,390000,0,0,1728,1985,19116,1,3,4,2732817.727,290676.4494
62187110,2023/4/11,68000,0,0,1608,1915,19104,1,7,7,2680044.013,243766.6695
662387300,2023/4/28,375000,0,0,1764,1964,19154,1,4,4,2743346.392,283942.516
132229600,2023/4/21,73500,0,0,1696,1940,19140,1,4,4,2694404.701,261998.4589
888050966,2023/3/7,167500,0,1,415,1973,19106,1,4,4,2696743.566,233862.1096
632144700,2023/4/14,300000,0,0,840,1960,19115,1,4,4,2722498.016,289691.662
888072716,2023/4/25,210000,0,1,956,1950,19130,1,4,4,2688582.069,241966.4435
